customer_id,name,age,city,preferred_language,relationship_tenure_months,avg_monthly_balance,risk_profile,lifecycle_stage,primary_channel,credit_card_holder,loan_holder,recent_issues
C00001,Customer00001,42,Visakhapatnam,en,31,41704.14,medium,active,sms,True,personal,none
C00002,Customer00002,26,Ahmedabad,en,4,69134.13,low,active,app,True,none,none
C00003,Customer00003,53,Pune,en,1,96046.08,low,active,app,False,none,none
C00004,Customer00004,32,Delhi,en,4,18489.81,high,active,sms,True,auto,none
C00005,Customer00005,40,Hyderabad,hi,13,64796.81,low,winback,email,False,auto,none
C00006,Customer00006,46,Bengaluru,en,3,41432.56,medium,onboarding,email,False,none,none
C00007,Customer00007,28,Hyderabad,en,14,34738.22,low,dormant,sms,False,none,none
C00008,Customer00008,31,Visakhapatnam,hi,17,85863.23,medium,active,app,True,none,txn_decline
C00009,Customer00009,32,Visakhapatnam,hi,22,56655.36,low,active,app,True,auto,none
C00010,Customer00010,31,Chennai,en,2,106846.39,low,winback,app,False,none,none
C00011,Customer00011,31,Visakhapatnam,en,3,161136.69,low,active,app,False,none,none
C00012,Customer00012,32,Chennai,en,57,49668.33,high,active,email,False,auto,none
C00013,Customer00013,46,Hyderabad,te,8,23250.62,low,active,email,False,none,txn_decline
C00014,Customer00014,65,Hyderabad,hi,4,121618.38,low,dormant,app,False,none,none
C00015,Customer00015,45,Hyderabad,en,2,60282.1,high,dormant,email,False,none,app_crash
C00016,Customer00016,27,Visakhapatnam,en,7,44997.65,medium,active,sms,False,none,none
C00017,Customer00017,33,Pune,ta,7,113427.33,low,active,sms,False,SME,none
C00018,Customer00018,26,Mumbai,en,38,58065.73,medium,winback,sms,False,none,none
C00019,Customer00019,31,Hyderabad,en,1,86700.58,low,active,email,False,none,none
C00020,Customer00020,43,Pune,te,31,103264.91,medium,active,email,False,none,none
C00021,Customer00021,29,Kolkata,en,47,31447.26,low,active,app,True,none,none
C00022,Customer00022,22,Visakhapatnam,en,1,115978.82,low,onboarding,email,False,none,none
C00023,Customer00023,26,Pune,en,31,21772.4,high,active,email,False,auto,none
C00024,Customer00024,46,Hyderabad,hi,15,67793.68,low,active,app,True,none,none
C00025,Customer00025,41,Hyderabad,en,34,11292.81,low,dormant,email,True,none,none
C00026,Customer00026,52,Delhi,en,16,70290.88,medium,active,app,False,none,none
C00027,Customer00027,18,Pune,te,1,99314.15,high,dormant,app,True,none,none
C00028,Customer00028,23,Chennai,ta,17,112549.5,low,onboarding,email,False,personal,none
C00029,Customer00029,35,Pune,hi,12,71426.75,low,active,email,True,personal,none
C00030,Customer00030,30,Bengaluru,en,1,94622.68,low,active,app,True,SME,none
C00031,Customer00031,29,Hyderabad,en,63,19894.58,low,dormant,email,False,none,none
C00032,Customer00032,43,Hyderabad,hi,49,119491.2,low,active,app,False,none,none
C00033,Customer00033,32,Mumbai,en,53,80796.05,low,active,email,False,home,none
C00034,Customer00034,51,Ahmedabad,mr,54,60533.2,high,active,email,False,home,none
C00035,Customer00035,30,Mumbai,en,6,30340.27,low,dormant,app,False,SME,none
C00036,Customer00036,50,Hyderabad,hi,47,32482.84,low,winback,sms,False,none,none
C00037,Customer00037,38,Pune,en,12,35924.77,low,active,email,False,auto,none
C00038,Customer00038,34,Delhi,ta,9,32651.79,medium,active,email,False,none,none
C00039,Customer00039,36,Visakhapatnam,mr,17,74243.05,low,active,app,False,none,app_crash
C00040,Customer00040,28,Hyderabad,en,85,134237.52,medium,active,sms,True,none,none
C00041,Customer00041,18,Hyderabad,bn,8,48409.17,low,active,sms,False,home,none
C00042,Customer00042,39,Ahmedabad,hi,16,24043.44,high,active,sms,False,none,none
C00043,Customer00043,36,Hyderabad,hi,3,68092.84,low,winback,app,False,auto,none
C00044,Customer00044,41,Hyderabad,en,6,49557.19,low,active,sms,False,none,none
C00045,Customer00045,49,Mumbai,en,6,95115.98,medium,active,email,True,personal,none
C00046,Customer00046,29,Pune,en,24,133040.94,high,active,app,True,SME,none
C00047,Customer00047,43,Delhi,en,2,181427.34,low,active,app,False,SME,none
C00048,Customer00048,33,Ahmedabad,en,4,105389.76,low,active,app,False,none,app_crash
C00049,Customer00049,38,Visakhapatnam,en,27,19791.46,low,winback,app,False,none,none
C00050,Customer00050,38,Delhi,en,6,28067.64,medium,active,app,False,none,none
C00051,Customer00051,27,Chennai,hi,28,78415.55,high,active,email,False,none,none
C00052,Customer00052,44,Chennai,te,3,40343.76,medium,active,email,False,none,none
C00053,Customer00053,30,Hyderabad,hi,62,30676.31,low,active,app,True,SME,none
C00054,Customer00054,34,Delhi,en,25,83367.31,low,onboarding,email,False,auto,none
C00055,Customer00055,40,Chennai,bn,18,128428.57,low,active,email,False,none,none
C00056,Customer00056,34,Hyderabad,te,54,37648.0,low,dormant,app,False,none,app_crash
C00057,Customer00057,40,Hyderabad,en,9,96909.37,medium,active,app,False,SME,none
C00058,Customer00058,50,Ahmedabad,te,54,2028.77,medium,active,app,False,none,none
C00059,Customer00059,40,Kolkata,en,24,70786.89,low,active,app,False,none,none
C00060,Customer00060,40,Hyderabad,hi,1,100844.09,low,active,app,True,none,none
C00061,Customer00061,40,Hyderabad,hi,1,7138.91,low,active,app,False,none,none
C00062,Customer00062,39,Ahmedabad,ta,28,23011.29,low,dormant,app,False,home,none
C00063,Customer00063,26,Chennai,bn,29,89393.22,high,active,app,False,none,none
C00064,Customer00064,30,Mumbai,en,32,17825.68,low,active,app,False,personal,none
C00065,Customer00065,47,Hyderabad,mr,25,74766.86,low,dormant,app,False,none,none
C00066,Customer00066,29,Kolkata,en,11,58751.71,low,active,email,False,home,none
C00067,Customer00067,29,Chennai,en,86,1051.38,low,onboarding,app,False,none,none
C00068,Customer00068,46,Visakhapatnam,en,23,35624.33,low,active,app,False,none,none
C00069,Customer00069,38,Hyderabad,en,20,137212.04,low,active,app,True,none,none
C00070,Customer00070,23,Hyderabad,te,30,47928.22,low,active,app,False,none,app_crash
C00071,Customer00071,27,Chennai,en,67,78948.34,medium,active,app,False,none,none
C00072,Customer00072,36,Visakhapatnam,hi,81,94420.45,low,winback,app,False,none,none
C00073,Customer00073,29,Pune,hi,45,40890.83,low,active,email,False,none,none
C00074,Customer00074,28,Kolkata,hi,19,19222.08,low,active,app,False,auto,none
C00075,Customer00075,39,Kolkata,en,20,73119.04,medium,active,email,True,home,none
C00076,Customer00076,40,Kolkata,en,110,1463.79,low,active,email,True,auto,none
C00077,Customer00077,38,Mumbai,en,50,18578.22,low,active,app,False,none,none
C00078,Customer00078,46,Mumbai,en,29,113971.91,medium,active,app,False,none,none
